audio_path	transcript	phoneme_transcript
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R015.wav	tới vỗ vai hỏi về chiếc áo mới mua	t#75a#j5a#_5a# v#o4#_4# v#a1#j1#_1# h#O3#j3#_3# v#e2#_2# ts#ie5b#k5b#_5b# a5a#w5a#_5a# m#75a#j5a#_5a# m#uo1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R016.wav	bào chế những loại thuốc chữa nghiện ma túy	b#a2#w2#_2# ts#e5a#_5a# J#M4#N4#_4# l#wp6a#a6a#j6a#_6a# t_h#uo5b#k5b#_5b# ts#M74#_4# N#ie6a#n6a#_6a# m#a1#_1# t#wp5a#i5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R017.wav	những mái ngói âm dương cổ kính	J#M4#N4#_4# m#a5a#j5a#_5a# N#O5a#j5a#_5a# 7_X1#m1#_1# z#M71#N1#_1# k#o3#_3# k#i5a#J5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R018.wav	mặt mũi nó còn càu cạu	m#a_X6b#t6b#_6b# m#u4#j4#_4# n#O5a#_5a# k#O2#n2#_2# k#a_X2#w2#_2# k#a_X6a#w6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R019.wav	nắng đào làm ửng hồng những đôi má thiếu nữ hà thành	n#a_X5a#N5a#_5a# d#a2#w2#_2# l#a2#m2#_2# M3#N3#_3# h#o2#Nm2#_2# J#M4#N4#_4# d#o1#j1#_1# m#a5a#_5a# t_h#ie5a#w5a#_5a# n#M4#_4# h#a2#_2# t_h#E_X2#J2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R020.wav	chiếc ổ thường xuyên được khóa chặt vào bàn	ts#ie5b#k5b#_5b# o3#_3# t_h#M72#N2#_2# s#wp1#ie1#n1#_1# d#M76b#k6b#_6b# x#wp5a#a5a#_5a# ts#a_X6b#t6b#_6b# v#a2#w2#_2# b#a2#n2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R021.wav	làm tóc kiểu này trông bạn quý phái một cách tự nhiên	l#a2#m2#_2# t#O_X5b#kp5b#_5b# k#ie3#w3#_3# n#a_X2#j2#_2# ts#o1#Nm1#_1# b#a6a#n6a#_6a# k#wp5a#i5a#_5a# f#a5a#j5a#_5a# m#o6b#t6b#_6b# k#E_X5b#k5b#_5b# t#M6a#_6a# J#ie1#n1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R022.wav	đồng nghiệp tây bảo nhạc của tôi chỉ thoáng nghe	d#o2#Nm2#_2# N#ie6b#p6b#_6b# t#7_X1#j1#_1# b#a3#w3#_3# J#a6b#k6b#_6b# k#uo3#_3# t#o1#j1#_1# ts#i3#_3# t_h#wp5a#a5a#N5a#_5a# N#E1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R023.wav	đâu là tình yêu đích thực	d#7_X1#w1#_1# l#a2#_2# t#i2#J2#_2# ie1#w1#_1# d#i5b#k5b#_5b# t_h#M6b#k6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R024.wav	cũng sẽ gặp khó khăn vì không có hình ảnh để đối chiếu	k#u4#Nm4#_4# s#E4#_4# G#a_X6b#p6b#_6b# x#O5a#_5a# x#a_X1#n1#_1# v#i2#_2# x#o1#Nm1#_1# k#O5a#_5a# h#i2#J2#_2# E_X3#J3#_3# d#e3#_3# d#o5a#j5a#_5a# ts#ie5a#w5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R025.wav	tay cầm một cọc tiền đếm xoèn xoẹt đưa cho cha mẹ cô dâu	t#a_X1#j1#_1# k#7_X2#m2#_2# m#o6b#t6b#_6b# k#O_X6b#kp6b#_6b# t#ie2#n2#_2# d#e5a#m5a#_5a# s#wp2#E2#n2#_2# s#wp6b#E6b#t6b#_6b# d#M71#_1# ts#O1#_1# ts#a1#_1# m#E6a#_6a# k#o1#_1# z#7_X1#w1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R026.wav	trong niềm phấn khởi của bà con ngư dân	ts#O_X1#Nm1#_1# n#ie2#m2#_2# f#7_X5a#n5a#_5a# x#73#j3#_3# k#uo3#_3# b#a2#_2# k#O1#n1#_1# N#M1#_1# z#7_X1#n1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R027.wav	bắt đầu lọc cọc tiếng dùi đục của thợ mộc	b#a_X5b#t5b#_5b# d#7_X2#w2#_2# l#O_X6b#kp6b#_6b# k#O_X6b#kp6b#_6b# t#ie5a#N5a#_5a# z#u2#j2#_2# d#u6b#kp6b#_6b# k#uo3#_3# t_h#76a#_6a# m#o6b#kp6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R028.wav	việc thiết lập tốc độ nháy chuột	v#ie6b#k6b#_6b# t_h#ie5b#t5b#_5b# l#7_X6b#p6b#_6b# t#o5b#kp5b#_5b# d#o6a#_6a# J#a_X5a#j5a#_5a# ts#uo6b#t6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R029.wav	kết luận trên đã cho thấy	k#e5b#t5b#_5b# l#wp6a#7_X6a#n6a#_6a# ts#e1#n1#_1# d#a4#_4# ts#O1#_1# t_h#7_X5a#j5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R030.wav	lặn ngụp ven hồ tây để kiếm sống	l#a_X6a#n6a#_6a# N#u6b#p6b#_6b# v#E1#n1#_1# h#o2#_2# t#7_X1#j1#_1# d#e3#_3# k#ie5a#m5a#_5a# s#o5a#Nm5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R031.wav	chúng tôi cứ len lén nhìn và chẳng thấy ngượng ngập	ts#u5a#Nm5a#_5a# t#o1#j1#_1# k#M5a#_5a# l#E1#n1#_1# l#E5a#n5a#_5a# J#i2#n2#_2# v#a2#_2# ts#a_X3#N3#_3# t_h#7_X5a#j5a#_5a# N#M76a#N6a#_6a# N#7_X6b#p6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R032.wav	của người mẹ đang phải cầm hơi bằng lá cây	k#uo3#_3# N#M72#j2#_2# m#E6a#_6a# d#a1#N1#_1# f#a3#j3#_3# k#7_X2#m2#_2# h#71#j1#_1# b#a_X2#N2#_2# l#a5a#_5a# k#7_X1#j1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R033.wav	hun đúc nên tinh thần thi đấu quả cảm với đồng tháp	h#u1#n1#_1# d#u5b#kp5b#_5b# n#e1#n1#_1# t#i1#J1#_1# t_h#7_X2#n2#_2# t_h#i1#_1# d#7_X5a#w5a#_5a# k#wp3#a3#_3# k#a3#m3#_3# v#75a#j5a#_5a# d#o2#Nm2#_2# t_h#a5b#p5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R034.wav	không dè lần lên coi thử	x#o1#Nm1#_1# z#E2#_2# l#7_X2#n2#_2# l#e1#n1#_1# k#O1#j1#_1# t_h#M3#_3#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R035.wav	nên việc phá rừng đốt than ngày càng trở nên bức xúc	n#e1#n1#_1# v#ie6b#k6b#_6b# f#a5a#_5a# z#M2#N2#_2# d#o5b#t5b#_5b# t_h#a1#n1#_1# N#a_X2#j2#_2# k#a2#N2#_2# ts#73#_3# n#e1#n1#_1# b#M5b#k5b#_5b# s#u5b#kp5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R036.wav	ở đời phàm cái gì đúng thời cơ mới đạt hiệu quả	73#_3# d#72#j2#_2# f#a2#m2#_2# k#a5a#j5a#_5a# z#i2#_2# d#u5a#Nm5a#_5a# t_h#72#j2#_2# k#71#_1# m#75a#j5a#_5a# d#a6b#t6b#_6b# h#ie6a#w6a#_6a# k#wp3#a3#_3#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R037.wav	còn có tác dụng	k#O2#n2#_2# k#O5a#_5a# t#a5b#k5b#_5b# z#u6a#Nm6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R038.wav	dấu hiệu duy nhất để nhận ra kho lúa vĩnh thành	z#7_X5a#w5a#_5a# h#ie6a#w6a#_6a# z#wp1#i1#_1# J#7_X5b#t5b#_5b# d#e3#_3# J#7_X6a#n6a#_6a# z#a1#_1# x#O1#_1# l#uo5a#_5a# v#i4#J4#_4# t_h#E_X2#J2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R039.wav	nhưng rồi cũng khổ sở đến dường nào	J#M1#N1#_1# z#o2#j2#_2# k#u4#Nm4#_4# x#o3#_3# s#73#_3# d#e5a#n5a#_5a# z#M72#N2#_2# n#a2#w2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R040.wav	giá cả thuộc dạng vô cùng lên bổng xuống trầm tẹp nhẹp	z#a5a#_5a# k#a3#_3# t_h#uo6b#k6b#_6b# z#a6a#N6a#_6a# v#o1#_1# k#u2#Nm2#_2# l#e1#n1#_1# b#o3#Nm3#_3# s#uo5a#N5a#_5a# ts#7_X2#m2#_2# t#E6b#p6b#_6b# J#E6b#p6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R041.wav	nữ thần tự do với bàn tay cầm đuốc	n#M4#_4# t_h#7_X2#n2#_2# t#M6a#_6a# z#O1#_1# v#75a#j5a#_5a# b#a2#n2#_2# t#a_X1#j1#_1# k#7_X2#m2#_2# d#uo5b#k5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R042.wav	những con sâu trúng thuốc rơi xuống giãy giụa	J#M4#N4#_4# k#O1#n1#_1# s#7_X1#w1#_1# ts#u5a#Nm5a#_5a# t_h#uo5b#k5b#_5b# z#71#j1#_1# s#uo5a#N5a#_5a# z#a_X4#j4#_4# z#uo6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R043.wav	vừa đi vừa ca nghêu ngao	v#M72#_2# d#i1#_1# v#M72#_2# k#a1#_1# N#e1#w1#_1# N#a1#w1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R044.wav	dưới đáy biển	z#M75a#j5a#_5a# d#a_X5a#j5a#_5a# b#ie3#n3#_3#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R045.wav	những sợi bún được cuộn thành dây chão 	J#M4#N4#_4# s#76a#j6a#_6a# b#u5a#n5a#_5a# d#M76b#k6b#_6b# k#uo6a#n6a#_6a# t_h#E_X2#J2#_2# z#7_X1#j1#_1# ts#a4#w4#_4#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R046.wav	khoanh tròn trên tấm lá chuối	x#wp1#E_X1#J1#_1# ts#O2#n2#_2# ts#e1#n1#_1# t#7_X5a#m5a#_5a# l#a5a#_5a# ts#uo5a#j5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R047.wav	rơi vào cảnh đìu hiu bởi du khách thưa thớt	z#71#j1#_1# v#a2#w2#_2# k#E_X3#J3#_3# d#i2#w2#_2# h#i1#w1#_1# b#73#j3#_3# z#u1#_1# x#E_X5b#k5b#_5b# t_h#M71#_1# t_h#75b#t5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R048.wav	sau đó những người này được trắc nghiệm khả năng ghi nhớ	s#a_X1#w1#_1# d#O5a#_5a# J#M4#N4#_4# N#M72#j2#_2# n#a_X2#j2#_2# d#M76b#k6b#_6b# ts#a_X5b#k5b#_5b# N#ie6a#m6a#_6a# x#a3#_3# n#a_X1#N1#_1# G#i1#_1# J#75a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R049.wav	muốn sành điệu nguyên con	m#uo5a#n5a#_5a# s#E_X2#J2#_2# d#ie6a#w6a#_6a# N#wp1#ie1#n1#_1# k#O1#n1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R050.wav	với những tràng pháo tay và tiếng trầm trồ tán thưởng không ngớt	v#75a#j5a#_5a# J#M4#N4#_4# ts#a2#N2#_2# f#a5a#w5a#_5a# t#a_X1#j1#_1# v#a2#_2# t#ie5a#N5a#_5a# ts#7_X2#m2#_2# ts#o2#_2# t#a5a#n5a#_5a# t_h#M73#N3#_3# x#o1#Nm1#_1# N#75b#t5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R051.wav	hi vọng ở lần sinh nhật sau	h#i1#_1# v#O_X6a#Nm6a#_6a# 73#_3# l#7_X2#n2#_2# s#i1#J1#_1# J#7_X6b#t6b#_6b# s#a_X1#w1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R052.wav	theo luật nhân quả mà gần đây khoa học đã chứng minh được	t_h#E1#w1#_1# l#wp6b#7_X6b#t6b#_6b# J#7_X1#n1#_1# k#wp3#a3#_3# m#a2#_2# G#7_X2#n2#_2# d#7_X1#j1#_1# x#wp1#a1#_1# h#O_X6b#kp6b#_6b# d#a4#_4# ts#M5a#N5a#_5a# m#i1#J1#_1# d#M76b#k6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R053.wav	ông lướt nhẹ ngón tay gầy guộc trên những con chữ	o1#Nm1#_1# l#M75b#t5b#_5b# J#E6a#_6a# N#O5a#n5a#_5a# t#a_X1#j1#_1# G#7_X2#j2#_2# G#uo6b#k6b#_6b# ts#e1#n1#_1# J#M4#N4#_4# k#O1#n1#_1# ts#M4#_4#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R054.wav	phải dừng máy tàu và lặn xuống biển dùng dao mà cắt	f#a3#j3#_3# z#M2#N2#_2# m#a_X5a#j5a#_5a# t#a_X2#w2#_2# v#a2#_2# l#a_X6a#n6a#_6a# s#uo5a#N5a#_5a# b#ie3#n3#_3# z#u2#Nm2#_2# z#a1#w1#_1# m#a2#_2# k#a_X5b#t5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R055.wav	và một nhóm người đang hí húi quay phim	v#a2#_2# m#o6b#t6b#_6b# J#O5a#m5a#_5a# N#M72#j2#_2# d#a1#N1#_1# h#i5a#_5a# h#u5a#j5a#_5a# k#wp1#a_X1#j1#_1# f#i1#m1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R056.wav	hai bàn chân tí xíu kia mới đưa được các em về tới nhà	h#a1#j1#_1# b#a2#n2#_2# ts#7_X1#n1#_1# t#i5a#_5a# s#i5a#w5a#_5a# k#ie1#_1# m#75a#j5a#_5a# d#M71#_1# d#M76b#k6b#_6b# k#a5b#k5b#_5b# E1#m1#_1# v#e2#_2# t#75a#j5a#_5a# J#a2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R057.wav	chảy nhão dưới nắng	ts#a_X3#j3#_3# J#a4#w4#_4# z#M75a#j5a#_5a# n#a_X5a#N5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R058.wav	tôi xin phép ra ngoài vị giám thị trẻ xẵng giọng	t#o1#j1#_1# s#i1#n1#_1# f#E5b#p5b#_5b# z#a1#_1# N#wp2#a2#j2#_2# v#i6a#_6a# z#a5a#m5a#_5a# t_h#i6a#_6a# ts#E3#_3# s#a_X4#N4#_4# z#O_X6a#Nm6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R059.wav	nhưng thực ra có thể không phải là như vậy	J#M1#N1#_1# t_h#M6b#k6b#_6b# z#a1#_1# k#O5a#_5a# t_h#e3#_3# x#o1#Nm1#_1# f#a3#j3#_3# l#a2#_2# J#M1#_1# v#7_X6a#j6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R060.wav	dác dáo dác tìm giúp việc sau tết	z#a5b#k5b#_5b# z#a5a#w5a#_5a# z#a5b#k5b#_5b# t#i2#m2#_2# z#u5b#p5b#_5b# v#ie6b#k6b#_6b# s#a_X1#w1#_1# t#e5b#t5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R061.wav	nên đặt bút ký hợp đồng cho thuê với giá bèo	n#e1#n1#_1# d#a_X6b#t6b#_6b# b#u5b#t5b#_5b# k#i5a#_5a# h#76b#p6b#_6b# d#o2#Nm2#_2# ts#O1#_1# t_h#wp1#e1#_1# v#75a#j5a#_5a# z#a5a#_5a# b#E2#w2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R062.wav	tôi không sợ con đường dằng dặc từ thị thành	t#o1#j1#_1# x#o1#Nm1#_1# s#76a#_6a# k#O1#n1#_1# d#M72#N2#_2# z#a_X2#N2#_2# z#a_X6b#k6b#_6b# t#M2#_2# t_h#i6a#_6a# t_h#E_X2#J2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R063.wav	một người gánh nước dưới khe suối lên	m#o6b#t6b#_6b# N#M72#j2#_2# G#E_X5a#J5a#_5a# n#M75b#k5b#_5b# z#M75a#j5a#_5a# x#E1#_1# s#uo5a#j5a#_5a# l#e1#n1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R064.wav	sàng sảy thóc ngay ngõ gạch	s#a2#N2#_2# s#a_X3#j3#_3# t_h#O_X5b#kp5b#_5b# N#a_X1#j1#_1# N#O4#_4# G#E_X6b#k6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R065.wav	ngay cả nền sản xuất hiện đại như mỹ	N#a_X1#j1#_1# k#a3#_3# n#e2#n2#_2# s#a3#n3#_3# s#wp5b#7_X5b#t5b#_5b# h#ie6a#n6a#_6a# d#a6a#j6a#_6a# J#M1#_1# m#i4#_4#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R066.wav	về hành vi truyền bá văn hóa phẩm đồi trụy không nguồn gốc	v#e2#_2# h#E_X2#J2#_2# v#i1#_1# ts#wp2#ie2#n2#_2# b#a5a#_5a# v#a_X1#n1#_1# h#wp5a#a5a#_5a# f#7_X3#m3#_3# d#o2#j2#_2# ts#wp6a#i6a#_6a# x#o1#Nm1#_1# N#uo2#n2#_2# G#o5b#kp5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R067.wav	có thể đây là cái cạm bẫy phá hoại của bọn phản động	k#O5a#_5a# t_h#e3#_3# d#7_X1#j1#_1# l#a2#_2# k#a5a#j5a#_5a# k#a6a#m6a#_6a# b#7_X4#j4#_4# f#a5a#_5a# h#wp6a#a6a#j6a#_6a# k#uo3#_3# b#O6a#n6a#_6a# f#a3#n3#_3# d#o6a#Nm6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R068.wav	nếu tập trung tại trung tâm huấn luyện thể thao quốc gia i nhổn	n#e5a#w5a#_5a# t#7_X6b#p6b#_6b# ts#u1#Nm1#_1# t#a6a#j6a#_6a# ts#u1#Nm1#_1# t#7_X1#m1#_1# h#wp5a#7_X5a#n5a#_5a# l#wp6a#ie6a#n6a#_6a# t_h#e3#_3# t_h#a1#w1#_1# k#uo5b#k5b#_5b# z#a1#_1# i1#_1# J#o3#n3#_3#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R069.wav	chiến khu rừng sác là một vùng đầm lầy nước mặn	ts#ie5a#n5a#_5a# x#u1#_1# z#M2#N2#_2# s#a5b#k5b#_5b# l#a2#_2# m#o6b#t6b#_6b# v#u2#Nm2#_2# d#7_X2#m2#_2# l#7_X2#j2#_2# n#M75b#k5b#_5b# m#a_X6a#n6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R070.wav	khiến chiếc thuyền tròng trành rồi lật nhào	x#ie5a#n5a#_5a# ts#ie5b#k5b#_5b# t_h#wp2#ie2#n2#_2# ts#O_X2#Nm2#_2# ts#E_X2#J2#_2# z#o2#j2#_2# l#7_X6b#t6b#_6b# J#a2#w2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R071.wav	có thể cho ít nước muối vào lòng bàn tay	k#O5a#_5a# t_h#e3#_3# ts#O1#_1# i5b#t5b#_5b# n#M75b#k5b#_5b# m#uo5a#j5a#_5a# v#a2#w2#_2# l#O_X2#Nm2#_2# b#a2#n2#_2# t#a_X1#j1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R072.wav	tôi tình cờ phát hiện khả năng hút thìa muỗng	t#o1#j1#_1# t#i2#J2#_2# k#72#_2# f#a5b#t5b#_5b# h#ie6a#n6a#_6a# x#a3#_3# n#a_X1#N1#_1# h#u5b#t5b#_5b# t_h#ie2#_2# m#uo4#N4#_4#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R073.wav	khi cả hai vừa chiến thắng ngoạn mục	x#i1#_1# k#a3#_3# h#a1#j1#_1# v#M72#_2# ts#ie5a#n5a#_5a# t_h#a_X5a#N5a#_5a# N#wp6a#a6a#n6a#_6a# m#u6b#kp6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R074.wav	tôi đã trải qua giây phút nhiễm sét như thế	t#o1#j1#_1# d#a4#_4# ts#a3#j3#_3# k#wp1#a1#_1# z#7_X1#j1#_1# f#u5b#t5b#_5b# J#ie4#m4#_4# s#E5b#t5b#_5b# J#M1#_1# t_h#e5a#_5a#
